key,data_source,species_reported,experiment_plant_id,experiment_matrix_id,experiment_treatment,experiment_day,plant_height,leaf_n,leaf_scar_n,flower_bud_n,flower_n,flower_day_rate,flowering_presence,flowering_first_day,flowering_peak_day
CS2024_000094,experiment,Chamaecrista_latistipula,P06_c,P06,rhizobium_present_organic_matter,149,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS2024_000095,experiment,Chamaecrista_latistipula,P11_c,P11,rhizobium_present_organic_matter,149,NA,NA,NA,12,3,7,TRUE,149,220
CS2024_000096,experiment,Chamaecrista_latistipula,P12_c,P12,rhizobium_present_organic_matter,149,NA,NA,NA,0,0,0,TRUE,450,450
CS2024_000097,experiment,Chamaecrista_latistipula,P16_c,P16,rhizobium_present_organic_matter,149,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS2024_000098,experiment,Chamaecrista_latistipula,P18_c,P18,rhizobium_present_organic_matter,149,NA,NA,NA,0,0,0,TRUE,450,450
CS2024_000099,experiment,Chamaecrista_latistipula,4109_c,4109,rhizobium_present_organic_matter,149,NA,NA,NA,0,0,0,TRUE,220,220
CS2024_000100,experiment,Chamaecrista_latistipula,1999_c,1999,rhizobium_present_organic_matter,149,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS2024_000101,experiment,Chamaecrista_latistipula,1979_c,1979,rhizobium_present_organic_matter,149,NA,NA,NA,0,0,0,FALSE,NA,NA
CS2024_000102,experiment,Chamaecrista_latistipula,2139_c,2139,rhizobium_present_organic_matter,149,NA,NA,NA,0,0,0,NA,NA,NA
CS2024_000103,experiment,Chamaecrista_latistipula,2137_c,2137,rhizobium_present_organic_matter,149,NA,NA,NA,0,0,0,NA,NA,NA
CS2024_000104,experiment,Chamaecrista_latistipula,1989_c,1989,rhizobium_present_organic_matter,149,NA,NA,NA,0,0,0,TRUE,220,220
CS2024_000105,experiment,Chamaecrista_latistipula,1947_c,1947,rhizobium_present_organic_matter,149,NA,NA,NA,0,0,0,TRUE,450,450
CS2024_000106,experiment,Chamaecrista_latistipula,2191_c,2191,rhizobium_present_organic_matter,149,NA,NA,NA,0,0,0,FALSE,NA,NA
CS2024_000107,experiment,Chamaecrista_latistipula,P20_d,P20,rhizobium_present_sand_soil,149,NA,NA,NA,13,3,1,TRUE,149,220
CS2024_000108,experiment,Chamaecrista_latistipula,P06_d,P06,rhizobium_present_sand_soil,149,NA,NA,NA,26,0,0,TRUE,162,220
CS2024_000109,experiment,Chamaecrista_latistipula,P11_d,P11,rhizobium_present_sand_soil,149,NA,NA,NA,11,3,3,TRUE,149,220
CS2024_000110,experiment,Chamaecrista_latistipula,P12_d,P12,rhizobium_present_sand_soil,149,NA,NA,NA,24,0,0,TRUE,162,220
CS2024_000111,experiment,Chamaecrista_latistipula,P16_d,P16,rhizobium_present_sand_soil,149,NA,NA,NA,55,23,9,TRUE,149,220
CS2024_000112,experiment,Chamaecrista_latistipula,P18_d,P18,rhizobium_present_sand_soil,149,NA,NA,NA,13,0,0,TRUE,162,220
CS2024_000113,experiment,Chamaecrista_latistipula,4109_d,4109,rhizobium_present_sand_soil,149,NA,NA,NA,65,43,11,TRUE,149,162
CS2024_000114,experiment,Chamaecrista_latistipula,1999_d,1999,rhizobium_present_sand_soil,149,NA,NA,NA,48,23,9,TRUE,149,162
CS2024_000115,experiment,Chamaecrista_latistipula,1979_d,1979,rhizobium_present_sand_soil,149,NA,NA,NA,45,22,6,TRUE,149,162
CS2024_000116,experiment,Chamaecrista_latistipula,2139_d,2139,rhizobium_present_sand_soil,149,NA,NA,NA,27,6,2,TRUE,149,220
CS2024_000117,experiment,Chamaecrista_latistipula,2137_d,2137,rhizobium_present_sand_soil,149,NA,NA,NA,4,0,0,TRUE,162,220
CS2024_000118,experiment,Chamaecrista_latistipula,1989_d,1989,rhizobium_present_sand_soil,149,NA,NA,NA,49,26,7,TRUE,149,162
CS2024_000119,experiment,Chamaecrista_latistipula,1947_d,1947,rhizobium_present_sand_soil,149,NA,NA,NA,41,20,6,TRUE,149,220
CS2024_000120,experiment,Chamaecrista_latistipula,2191_d,2191,rhizobium_present_sand_soil,149,NA,NA,NA,20,0,0,TRUE,162,220
CS2024_000121,experiment,Chamaecrista_latistipula,P14_a,P14,rhizobium_absent_organic_matter,162,0.74,54,8,0,0,0,FALSE,NA,NA
CS2024_000122,experiment,Chamaecrista_latistipula,P06_a,P06,rhizobium_absent_organic_matter,162,0.635,39,12,0,0,0,TRUE,220,220
CS2024_000123,experiment,Chamaecrista_latistipula,P12_a,P12,rhizobium_absent_organic_matter,162,0.61,37,11,0,0,0,FALSE,NA,NA
CS2024_000124,experiment,Chamaecrista_latistipula,P18_a,P18,rhizobium_absent_organic_matter,162,0.565,50,14,0,0,0,FALSE,NA,NA
CS2024_000125,experiment,Chamaecrista_latistipula,1999_a,1999,rhizobium_absent_organic_matter,162,0.83,68,16,0,0,0,FALSE,NA,NA
CS2024_000126,experiment,Chamaecrista_latistipula,2139_a,2139,rhizobium_absent_organic_matter,162,0.82,61,16,0,3,1,TRUE,162,162
CS2024_000127,experiment,Chamaecrista_latistipula,1989_a,1989,rhizobium_absent_organic_matter,162,0.76,41,10,2,0,1,TRUE,220,220
CS2024_000128,experiment,Chamaecrista_latistipula,2191_a,2191,rhizobium_absent_organic_matter,162,0.68,45,12,0,0,0,TRUE,220,220
CS2024_000129,experiment,Chamaecrista_latistipula,P13_a,P13,rhizobium_absent_organic_matter,162,0.83,82,14,0,0,0,TRUE,220,220
CS2024_000130,experiment,Chamaecrista_latistipula,P20_a,P20,rhizobium_absent_organic_matter,162,0.61,40,11,0,0,0,TRUE,450,450
CS2024_000131,experiment,Chamaecrista_latistipula,P11_a,P11,rhizobium_absent_organic_matter,162,0.67,45,6,0,2,0,TRUE,162,162
CS2024_000132,experiment,Chamaecrista_latistipula,P16_a,P16,rhizobium_absent_organic_matter,162,0.835,91,14,0,2,0,TRUE,162,162
CS2024_000133,experiment,Chamaecrista_latistipula,4109_a,4109,rhizobium_absent_organic_matter,162,0.65,85,25,0,2,1,TRUE,149,149
CS2024_000134,experiment,Chamaecrista_latistipula,1979_a,1979,rhizobium_absent_organic_matter,162,0.76,80,18,2,1,0,TRUE,162,162
CS2024_000135,experiment,Chamaecrista_latistipula,2137_a,2137,rhizobium_absent_organic_matter,162,0.75,52,12,0,0,0,FALSE,NA,NA
CS2024_000136,experiment,Chamaecrista_latistipula,1947_a,1947,rhizobium_absent_organic_matter,162,0.615,44,8,0,0,0,FALSE,NA,NA
CS2024_000137,experiment,Chamaecrista_latistipula,P14_b,P14,rhizobium_absent_sand_soil,162,0.825,31,18,0,0,0,FALSE,NA,NA
CS2024_000138,experiment,Chamaecrista_latistipula,P06_b,P06,rhizobium_absent_sand_soil,162,0.504,21,9,0,0,0,FALSE,NA,NA
CS2024_000139,experiment,Chamaecrista_latistipula,P12_b,P12,rhizobium_absent_sand_soil,162,0.435,20,10,0,0,0,FALSE,NA,NA
CS2024_000140,experiment,Chamaecrista_latistipula,P18_b,P18,rhizobium_absent_sand_soil,162,0.66,27,13,0,0,0,TRUE,450,450
CS2024_000141,experiment,Chamaecrista_latistipula,1999_b,1999,rhizobium_absent_sand_soil,162,0.54,17,10,0,0,0,FALSE,NA,NA
CS2024_000142,experiment,Chamaecrista_latistipula,2139_b,2139,rhizobium_absent_sand_soil,162,0.53,30,15,0,0,0,FALSE,NA,NA
CS2024_000143,experiment,Chamaecrista_latistipula,1989_b,1989,rhizobium_absent_sand_soil,162,0.705,20,16,0,0,0,FALSE,NA,NA
CS2024_000144,experiment,Chamaecrista_latistipula,2191_b,2191,rhizobium_absent_sand_soil,162,0.445,17,1,0,0,0,FALSE,NA,NA
CS2024_000145,experiment,Chamaecrista_latistipula,P13_b,P13,rhizobium_absent_sand_soil,162,0.34,31,3,0,0,0,FALSE,NA,NA
CS2024_000146,experiment,Chamaecrista_latistipula,P20_b,P20,rhizobium_absent_sand_soil,162,0.505,27,6,0,0,0,FALSE,NA,NA
CS2024_000147,experiment,Chamaecrista_latistipula,4109_b,4109,rhizobium_absent_sand_soil,162,0.6,24,13,0,0,0,FALSE,NA,NA
CS2024_000148,experiment,Chamaecrista_latistipula,P16_b,P16,rhizobium_absent_sand_soil,162,0.695,19,15,0,0,0,FALSE,NA,NA
CS2024_000149,experiment,Chamaecrista_latistipula,P11_b,P11,rhizobium_absent_sand_soil,162,0.575,40,10,0,0,0,FALSE,NA,NA
CS2024_000150,experiment,Chamaecrista_latistipula,1979_b,1979,rhizobium_absent_sand_soil,162,0.71,28,14,0,0,0,FALSE,NA,NA
CS2024_000151,experiment,Chamaecrista_latistipula,2137_b,2137,rhizobium_absent_sand_soil,162,0.49,18,6,0,0,0,FALSE,NA,NA
CS2024_000152,experiment,Chamaecrista_latistipula,1947_b,1947,rhizobium_absent_sand_soil,162,0.43,13,11,0,0,0,FALSE,NA,NA
CS2024_000153,experiment,Chamaecrista_latistipula,P20_c,P20,rhizobium_present_organic_matter,162,0.48,36,19,0,0,0,TRUE,220,220
CS2024_000154,experiment,Chamaecrista_latistipula,P06_c,P06,rhizobium_present_organic_matter,162,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS2024_000155,experiment,Chamaecrista_latistipula,P11_c,P11,rhizobium_present_organic_matter,162,0.97,77,11,7,6,3,TRUE,149,220
CS2024_000156,experiment,Chamaecrista_latistipula,P12_c,P12,rhizobium_present_organic_matter,162,0.435,20,18,0,0,0,TRUE,450,450
CS2024_000157,experiment,Chamaecrista_latistipula,P16_c,P16,rhizobium_present_organic_matter,162,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS2024_000158,experiment,Chamaecrista_latistipula,P18_c,P18,rhizobium_present_organic_matter,162,0.725,54,5,0,0,0,TRUE,450,450
CS2024_000159,experiment,Chamaecrista_latistipula,4109_c,4109,rhizobium_present_organic_matter,162,0.965,77,4,4,0,0,TRUE,220,220
CS2024_000160,experiment,Chamaecrista_latistipula,1999_c,1999,rhizobium_present_organic_matter,162,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS2024_000161,experiment,Chamaecrista_latistipula,1979_c,1979,rhizobium_present_organic_matter,162,0.69,66,4,0,0,0,FALSE,NA,NA
CS2024_000162,experiment,Chamaecrista_latistipula,2139_c,2139,rhizobium_present_organic_matter,162,0.04,5,4,0,0,0,NA,NA,NA
CS2024_000163,experiment,Chamaecrista_latistipula,2137_c,2137,rhizobium_present_organic_matter,162,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS2024_000164,experiment,Chamaecrista_latistipula,1989_c,1989,rhizobium_present_organic_matter,162,0.697,69,9,0,0,0,TRUE,220,220
CS2024_000165,experiment,Chamaecrista_latistipula,1947_c,1947,rhizobium_present_organic_matter,162,0.256,22,5,0,0,0,TRUE,450,450
CS2024_000166,experiment,Chamaecrista_latistipula,2191_c,2191,rhizobium_present_organic_matter,162,0.337,18,2,0,0,0,FALSE,NA,NA
CS2024_000167,experiment,Chamaecrista_latistipula,P20_d,P20,rhizobium_present_sand_soil,162,1.255,88,6,19,17,4,TRUE,149,220
CS2024_000168,experiment,Chamaecrista_latistipula,P06_d,P06,rhizobium_present_sand_soil,162,1.265,183,11,50,28,8,TRUE,162,220
CS2024_000169,experiment,Chamaecrista_latistipula,P11_d,P11,rhizobium_present_sand_soil,162,1.04,102,6,23,14,1,TRUE,149,220
CS2024_000170,experiment,Chamaecrista_latistipula,P12_d,P12,rhizobium_present_sand_soil,162,1.01,159,12,36,21,6,TRUE,162,220
CS2024_000171,experiment,Chamaecrista_latistipula,P16_d,P16,rhizobium_present_sand_soil,162,1.575,221,18,101,53,20,TRUE,149,220
CS2024_000172,experiment,Chamaecrista_latistipula,P18_d,P18,rhizobium_present_sand_soil,162,1.315,114,9,27,13,3,TRUE,162,220
CS2024_000173,experiment,Chamaecrista_latistipula,4109_d,4109,rhizobium_present_sand_soil,162,1.52,243,21,117,71,18,TRUE,149,162
CS2024_000174,experiment,Chamaecrista_latistipula,1999_d,1999,rhizobium_present_sand_soil,162,1.43,251,12,103,79,5,TRUE,149,162
CS2024_000175,experiment,Chamaecrista_latistipula,1979_d,1979,rhizobium_present_sand_soil,162,1.485,177,8,55,49,9,TRUE,149,162
CS2024_000176,experiment,Chamaecrista_latistipula,2139_d,2139,rhizobium_present_sand_soil,162,1.405,129,6,44,27,2,TRUE,149,220
CS2024_000177,experiment,Chamaecrista_latistipula,2137_d,2137,rhizobium_present_sand_soil,162,1.045,63,10,6,3,0,TRUE,162,220
CS2024_000178,experiment,Chamaecrista_latistipula,1989_d,1989,rhizobium_present_sand_soil,162,1.515,201,14,87,60,8,TRUE,149,162
CS2024_000179,experiment,Chamaecrista_latistipula,1947_d,1947,rhizobium_present_sand_soil,162,1.33,199,8,80,45,6,TRUE,149,220
CS2024_000180,experiment,Chamaecrista_latistipula,2191_d,2191,rhizobium_present_sand_soil,162,1.226,119,6,31,20,4,TRUE,162,220
